,year,state,district,party,candidatevotes,race_id,clean_namehouse,FEC_ID,clean_namefec,similarity_score
14045,1984,OH,21,DEM,165247,OH21_1984,LOUIS STOKES,H6OH21052,LOUIS STOKES,1.0
14046,1984,OH,21,REP,29500,OH21_1984,ROBERT WOODALL,H0OH21014,ROBERT WOODALL,1.0
14047,2008,NY,10,DEM,155090,NY10_2008,EDOLPHUS TOWNS,H2NY11017,EDOLPHUS TOWNS,1.0
14048,2010,SC,3,DEM,66497,SC3_2010,JANE DYER,H8SC03054,JANE DYER,1.0
14049,2012,OH,2,REP,194296,OH2_2012,BRAD WENSTRUP,H2OH02085,BRAD WENSTRUP,1.0
14050,2012,OH,1,REP,201907,OH1_2012,STEVE CHABOT,H8OH01043,STEVE CHABOT,1.0
14051,2006,TN,1,IND,1003,TN1_2006,JAMES REEVES,H6TN01479,JAMES REEVES,1.0
14052,1978,OH,12,DEM,61698,OH12_1978,JAMES BAUMANN,H8OH12024,JAMES BAUMANN,1.0
14053,2012,ND,0,REP,173585,ND0_2012,KEVIN CRAMER,H6ND00074,KEVIN CRAMER,1.0
14054,1978,OH,12,REP,81573,OH12_1978,SAMUEL DEVINE,H6OH12028,SAMUEL DEVINE,1.0
14055,1980,NJ,8,REP,44625,NJ8_1980,WILLIAM CLEVELAND,H0NJ08012,WILLIAM CLEVELAND,1.0
14056,2006,TN,3,REP,130791,TN3_2006,ZACH WAMP,H2TN03052,ZACH WAMP,1.0
14057,1990,TX,6,DEM,62344,TX6_1990,JOHN WELCH,H8TX06084,JOHN WELCH,1.0
14058,1980,NJ,8,DEM,95493,NJ8_1980,ROBERT ROE,H6NJ08035,ROBERT ROE,1.0
14059,2006,TN,3,DEM,68324,TN3_2006,BRENT BENEDICT,H6TN03129,BRENT BENEDICT,1.0
14060,1978,OH,13,DEM,80875,OH13_1978,DONALD PEASE,H6OH13042,DONALD PEASE,1.0
14061,2012,NC,13,REP,210495,NC13_2012,GEORGE HOLDING,H2NC13110,GEORGE HOLDING,1.0
