,year,state,district,party,candidatevotes,race_id,clean_namehouse,FEC_ID,clean_namefec,similarity_score
448,2024,PA,12,DEM,234802,PA12_2024,SUMMER LEE,H2PA18200,SUMMER LEE,1.0
453,2010,DE,0,DEM,173543,DE0_2010,JOHN CARNEY,H0DE01017,JOHN CARNEY,1.0
456,2024,PA,11,REP,253672,PA11_2024,LLOYD SMUCKER,H6PA16320,LLOYD SMUCKER,1.0
457,2024,PA,12,REP,181426,PA12_2024,JAMES HAYES,H4PA12068,JAMES HAYES,1.0
461,2024,PA,10,REP,205567,PA10_2024,SCOTT PERRY,H2PA04135,SCOTT PERRY,1.0
465,2024,PA,10,DEM,200434,PA10_2024,JANELLE STELSON,H4PA10104,JANELLE STELSON,1.0
467,2024,PA,9,REP,276212,PA9_2024,DANIEL MEUSER,H8PA10147,DANIEL MEUSER,1.0
472,2024,PA,9,DEM,115523,PA9_2024,AMANDA WALDMAN,H2PA09126,AMANDA WALDMAN,1.0
476,2024,PA,6,DEM,235625,PA6_2024,CHRISSY HOULAHAN,H8PA06087,CHRISSY HOULAHAN,1.0
477,2024,PA,6,REP,183638,PA6_2024,NEIL YOUNG,H4PA06060,NEIL YOUNG,1.0
479,2024,PA,7,DEM,199626,PA7_2024,SUSAN WILD,H8PA15229,SUSAN WILD,1.0
480,2024,PA,8,DEM,189411,PA8_2024,MATT CARTWRIGHT,H2PA17079,MATT CARTWRIGHT,1.0
482,2024,PA,7,REP,203688,PA7_2024,RYAN MACKENZIE,H8PA15195,RYAN MACKENZIE,1.0
483,2024,PA,5,DEM,267754,PA5_2024,MARY SCANLON,H8PA07200,MARY SCANLON,1.0
489,2024,PA,4,DEM,269066,PA4_2024,MADELEINE DEAN,H8PA04116,MADELEINE DEAN,1.0
490,2010,CT,5,DEM,118231,CT5_2010,CHRISTOPHER MURPHY,H6CT05124,CHRISTOPHER MURPHY,1.0
492,2010,CT,5,REP,102092,CT5_2010,SAM CALIGIURI,H0CT05176,SAM CALIGIURI,1.0
493,2010,DE,0,LIB,1986,DE0_2010,BRENT WANGEN,H0DE00126,BRENT WANGEN,1.0
494,2010,DE,0,OTHER,3704,DE0_2010,EARL LOFLAND,H0DE00100,EARL LOFLAND,1.0
495,2010,DE,0,REP,125442,DE0_2010,GLEN URQUHART,H0DE01033,GLEN URQUHART,1.0
499,2024,PA,3,DEM,340223,PA3_2024,DWIGHT EVANS,H6PA02171,DWIGHT EVANS,1.0
500,2024,PA,4,REP,186457,PA4_2024,DAVID WINKLER,H4PA04107,DAVID WINKLER,1.0
504,2024,PA,2,DEM,193691,PA2_2024,BRENDAN BOYLE,H4PA13199,BRENDAN BOYLE,1.0
507,2024,PA,1,REP,261390,PA1_2024,BRIAN FITZPATRICK,H6PA08277,BRIAN FITZPATRICK,1.0
508,2024,PA,2,REP,77355,PA2_2024,AARON BASHIR,H4PA02069,AARON BASHIR,1.0
509,2024,OR,6,DEM,180869,OR6_2024,ANDREA SALINAS,H2OR06066,ANDREA SALINAS,1.0
510,2024,OR,6,REP,157634,OR6_2024,MIKE ERICKSON,H2OR06124,MIKE ERICKSON,1.0
